palika_id,province_en,province_ne,district_en,district_ne,palika_name_en,palika_name_ne,palika_type_en,palika_type_ne,palika_full_name_en,palika_full_name_ne,palika_label,wards,population_2021,area_km2,website,source_url
koshi-terhathum-menchhayayem-gaunpalika,Koshi,कोशी,Terhathum,तेह्रथुम,Menchhayayem,मेन्छयायेम,Gaunpalika,गाउँपालिका,Menchhayayem Gaunpalika,मेन्छयायेम गाउँपालिका,मेन्छयायेम गाउँपालिका / Menchhayayem Gaunpalika,0,6678,70.09,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
koshi-terhathum-phedap-gaunpalika,Koshi,कोशी,Terhathum,तेह्रथुम,Phedap,फेदाप,Gaunpalika,गाउँपालिका,Phedap Gaunpalika,फेदाप गाउँपालिका,फेदाप गाउँपालिका / Phedap Gaunpalika,0,15169,110.83,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
koshi-udayapur-belaka-municipality,Koshi,कोशी,Udayapur,उदयपुर,Belaka,वेलका,Municipality,नगरपालिका,Belaka Municipality,वेलका नगरपालिका,वेलका नगरपालिका / Belaka Municipality,9,51043,344.73,,https://en.wikipedia.org/wiki/List_of_cities_in_Nepal
koshi-udayapur-chaudandigadhi-municipality,Koshi,कोशी,Udayapur,उदयपुर,Chaudandigadhi,चौदण्डीगढी,Municipality,नगरपालिका,Chaudandigadhi Municipality,चौदण्डीगढी नगरपालिका,चौदण्डीगढी नगरपालिका / Chaudandigadhi Municipality,10,53631,283.78,,https://en.wikipedia.org/wiki/List_of_cities_in_Nepal
koshi-udayapur-katari-municipality,Koshi,कोशी,Udayapur,उदयपुर,Katari,कटारी,Municipality,नगरपालिका,Katari Municipality,कटारी नगरपालिका,कटारी नगरपालिका / Katari Municipality,14,59507,424.89,,https://en.wikipedia.org/wiki/List_of_cities_in_Nepal
koshi-udayapur-limchungbung-gaunpalika,Koshi,कोशी,Udayapur,उदयपुर,Limchungbung,लिम्चुङबुङ,Gaunpalika,गाउँपालिका,Limchungbung Gaunpalika,लिम्चुङबुङ गाउँपालिका,लिम्चुङबुङ गाउँपालिका / Limchungbung Gaunpalika,0,9689,106.8,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
koshi-udayapur-rautamai-gaunpalika,Koshi,कोशी,Udayapur,उदयपुर,Rautamai,रौतामाई,Gaunpalika,गाउँपालिका,Rautamai Gaunpalika,रौतामाई गाउँपालिका,रौतामाई गाउँपालिका / Rautamai Gaunpalika,0,20324,204.08,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
koshi-udayapur-tapli-gaunpalika,Koshi,कोशी,Udayapur,उदयपुर,Tapli,ताप्ली,Gaunpalika,गाउँपालिका,Tapli Gaunpalika,ताप्ली गाउँपालिका,ताप्ली गाउँपालिका / Tapli Gaunpalika,0,13344,119.11,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
koshi-udayapur-triyuga-municipality,Koshi,कोशी,Udayapur,उदयपुर,Triyuga,त्रियुगा,Municipality,नगरपालिका,Triyuga Municipality,त्रियुगा नगरपालिका,त्रियुगा नगरपालिका / Triyuga Municipality,16,102725,547.43,,https://en.wikipedia.org/wiki/List_of_cities_in_Nepal
koshi-udayapur-udayapurgadhi-gaunpalika,Koshi,कोशी,Udayapur,उदयपुर,Udayapurgadhi,उदयपुरगढी,Gaunpalika,गाउँपालिका,Udayapurgadhi Gaunpalika,उदयपुरगढी गाउँपालिका,उदयपुरगढी गाउँपालिका / Udayapurgadhi Gaunpalika,0,28926,209.51,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
